dataset,model,accuracy,precision,recall,f1_macro
resp_no_punct,Logistic Regression,0.7916256157635468,0.790617118889026,0.791303088329998,0.7908826501202189
comb_no_punct,Logistic Regression,0.7916256157635468,0.7906684973302822,0.7903747824626026,0.7905121156497835
comb_no_punct,SVM,0.7911330049261084,0.790110554733625,0.7901892188258577,0.7901491108668149
resp_no_punct,SVM,0.7903940886699508,0.7893807355557636,0.7893607661900615,0.7893707024063323
comb_with_punct,Logistic Regression,0.7894088669950738,0.7883853899982932,0.7884051500371005,0.7883952216199333
resp_with_punct,Logistic Regression,0.7889162561576355,0.787898102808031,0.7885634033882798,0.788157374895667
comb_with_punct,SVM,0.7874384236453202,0.7863910986685434,0.7865626811287634,0.7864729819256678
resp_with_punct,SVM,0.7844827586206896,0.7834331191588785,0.7839708862602197,0.7836558824681121
resp_no_punct,Naive Bayes,0.7766009852216749,0.7755392348233456,0.7753632694703438,0.7754473938190682
resp_no_punct,Random Forest,0.7706896551724138,0.7720040728131947,0.77306774243182,0.7706028010920924
resp_with_punct,Naive Bayes,0.7692118226600986,0.7680943128257951,0.7680758123773628,0.7680850154579711
resp_with_punct,Random Forest,0.7586206896551724,0.7608171454628363,0.7615075667779154,0.7585896998110122
comb_no_punct,MLP,0.7591133004926108,0.7579737929607382,0.7583924873305878,0.7581517528497879
comb_no_punct,Random Forest,0.7583743842364532,0.7572097020626433,0.7574608895984145,0.7573248520577023
comb_with_punct,Random Forest,0.7549261083743842,0.7540478335271978,0.7549929663822577,0.7542749450286221
resp_no_punct,MLP,0.7541871921182266,0.753059715275836,0.7535800248669904,0.7532665744981639
resp_with_punct,MLP,0.7512315270935961,0.7502590129583034,0.751091375094824,0.7504989291277258
comb_with_punct,MLP,0.746551724137931,0.7455495340986871,0.7463373127508066,0.745784788014948
comb_no_punct,Naive Bayes,0.7428571428571429,0.7432457651610428,0.7386881162949989,0.73963001839883
comb_with_punct,Naive Bayes,0.7389162561576355,0.7395374804651056,0.7344530712976458,0.7354004186767611
resp_with_punct,Baseline,0.5347290640394089,0.26736453201970445,0.5,0.3484191943508265
resp_no_punct,Baseline,0.5347290640394089,0.26736453201970445,0.5,0.3484191943508265
comb_no_punct,Baseline,0.5347290640394089,0.26736453201970445,0.5,0.3484191943508265
comb_with_punct,Baseline,0.5347290640394089,0.26736453201970445,0.5,0.3484191943508265
